2023-03-22 09:55:35.967723	ERROR	language	Language text not found
2023-03-22 10:30:07.014754	ERROR	language	Language text not found
2023-03-22 10:30:16.731746	ERROR	language	Language text not found
2023-03-22 10:30:19.169363	ERROR	language	Language text not found
2023-03-22 10:30:24.387506	ERROR	language	Language text not found
2023-03-22 14:27:52.114956	WARN	controller	Warn
2023-03-22 14:27:52.115002	ERROR	controller	Error
2023-03-22 14:27:52.115038	FATAL	controller	FATAL
2023-03-22 14:28:18.977181	WARN	controller	Warn
2023-03-22 14:28:18.977235	ERROR	controller	Error
2023-03-22 14:28:18.977274	FATAL	controller	FATAL
2023-03-22 14:28:35.391635	WARN	controller	Warn
2023-03-22 14:28:35.391721	ERROR	controller	Error
2023-03-22 14:28:35.391780	FATAL	controller	FATAL
2023-03-22 14:28:59.372738	WARN	controller	Warn
2023-03-22 14:28:59.372795	ERROR	controller	Error
2023-03-22 14:28:59.372840	FATAL	controller	FATAL
2023-03-22 14:29:09.611164	WARN	controller	Warn
2023-03-22 14:29:09.611214	ERROR	controller	Error
2023-03-22 14:29:09.611252	FATAL	controller	FATAL
2023-03-22 14:43:13.475308	WARN	controller	Warn
2023-03-22 14:43:13.475358	ERROR	controller	Error
2023-03-22 14:43:13.475407	FATAL	controller	FATAL
2023-03-22 14:43:13.661507	ERROR	language	Language text not found
2023-03-22 14:44:19.813086	WARN	controller	Warn
2023-03-22 14:44:19.813156	ERROR	controller	Error
2023-03-22 14:44:19.813201	FATAL	controller	FATAL
2023-03-22 14:44:20.003020	ERROR	language	Language text not found
2023-03-22 14:46:43.252459	WARN	controller	Warn
2023-03-22 14:46:43.252583	ERROR	controller	Error
2023-03-22 14:46:43.252630	FATAL	controller	FATAL
2023-03-22 14:46:43.437926	ERROR	language	Language text not found
2023-03-22 14:47:01.661680	WARN	controller	Warn
2023-03-22 14:47:01.661732	ERROR	controller	Error
2023-03-22 14:47:01.661771	FATAL	controller	FATAL
2023-03-22 14:47:01.847850	ERROR	language	Language text not found
2023-03-22 14:47:31.577759	WARN	controller	Warn
2023-03-22 14:47:31.577807	ERROR	controller	Error
2023-03-22 14:47:31.577844	FATAL	controller	FATAL
2023-03-22 14:47:31.764143	ERROR	language	Language text not found
2023-03-22 14:47:57.812758	WARN	controller	Warn
2023-03-22 14:47:57.812814	ERROR	controller	Error
2023-03-22 14:47:57.812854	FATAL	controller	FATAL
2023-03-22 14:47:57.998179	ERROR	language	Language text not found
2023-03-22 14:48:22.029089	WARN	controller	Warn
2023-03-22 14:48:22.029144	ERROR	controller	Error
2023-03-22 14:48:22.029182	FATAL	controller	FATAL
2023-03-22 14:48:22.214885	ERROR	language	Language text not found
2023-03-22 14:48:49.673942	WARN	controller	Warn
2023-03-22 14:48:49.674006	ERROR	controller	Error
2023-03-22 14:48:49.674044	FATAL	controller	FATAL
2023-03-22 14:48:49.857176	ERROR	language	Language text not found
2023-03-22 14:51:12.222428	WARN	controller	Warn
2023-03-22 14:51:12.222495	ERROR	controller	Error
2023-03-22 14:51:12.222535	FATAL	controller	FATAL
2023-03-22 14:51:12.406129	ERROR	language	Language text not found
2023-03-22 14:51:43.035978	WARN	controller	Warn
2023-03-22 14:51:43.036044	ERROR	controller	Error
2023-03-22 14:51:43.036082	FATAL	controller	FATAL
2023-03-22 14:51:43.234903	ERROR	language	Language text not found
2023-03-22 14:52:06.091055	WARN	controller	Warn
2023-03-22 14:52:06.091140	ERROR	controller	Error
2023-03-22 14:52:06.091196	FATAL	controller	FATAL
2023-03-22 14:52:06.279843	ERROR	language	Language text not found
2023-03-22 14:53:39.886043	ERROR	language	Language text not found
2023-03-22 14:54:07.322333	ERROR	language	Language text not found
2023-03-22 14:54:31.422606	ERROR	language	Language text not found
2023-03-22 14:59:31.010089	ERROR	language	Language text not found
2023-03-22 15:05:35.297028	ERROR	language	Language text not found
2023-03-22 15:06:02.374958	ERROR	language	Language text not found
2023-03-22 15:07:26.095191	ERROR	language	Language text not found
2023-03-22 15:09:54.753971	ERROR	language	Language text not found
2023-03-22 15:14:09.723654	ERROR	language	Language text not found
2023-03-22 15:25:12.376516	ERROR	language	Language text not found
2023-03-22 15:25:33.843425	ERROR	language	Language text not found
